"year","anom","CCSM4","GFDL.CM3","GISS.E2.R","IPSL.CM5A.LR","CCSM4","GFDL.CM3","GISS.E2.R","IPSL.CM5A.LR"
"2014-2016",1.94019358233813,1,1,1,1,1.38071929928175e-06,1.47565558782644e-05,0.0069390028576587,3.1674600070574e-06
"2017-2019",1.27011462412548,1,1,1,1,5.94661351404387e-05,0.000973583338457213,0.0358023894071139,0.000165776234028618
